﻿Section,Type,Title,Message,English,Arabic Translation
A,Email Subject,,,GDRFA - Event Registration Cancelled,
A,Email Subject,,,GDRFA - Event Registration Re-approved,
A,Email Subject,,,GDRFA - Registration Approved: {Event Name},
A,Email Subject,,,GDRFA - Registration Advanced: {Event Name},
A,Email Subject,,,GDRFA - Approval Request: {Event Name},
A,Email Subject,,,GDRFA - Registration Rejected: {Event Name},
A,Email Subject,,,GDRFA - Your Facility Request Status Changed,
A,Email Subject,,,GDRFA - Welcome to Our Platform!,
A,Email Subject,,,GDRFA - Reset Your Password,
A,Email Subject,,,GDRFA Admin - Reset Your Password,
A,Email Subject,,,GDRFA - Event Participation Request: {Event Name},
A,Email Subject,,,GDRFA - New Participant Registered: {Event Name},
A,Email Subject,,,GDRFA - Activity Invitation: {Event Name},
B,Email Title,Registration Cancelled,,,
B,Email Title,Registration Re-approved,,,
B,Email Title,Registration Fully Approved,,,
B,Email Title,Registration Advanced,,,
B,Email Title,New Approval Request,,,
B,Email Title,Registration Rejected,,,
B,Email Title,Facility Request Status Changed,,,
B,Email Title,Welcome to Our Platform!,,,
B,Email Button,Get Started,,,
B,Email Title,Reset Your Password,,,
B,Email Button,Reset Password,,,
B,Email Title,Reset Your Admin Password,,,
B,Email Title,Employee Event Participation Notification,,,
B,Email Title,New Event Participant Registration,,,
B,Email Title,You're Invited to a Sports Activity!,,,
C1,Email Body,,,Hello {User}!,
C1,Email Body,,,Your request to participate in the following event has been {Status}.,
C1,Email Body,,,Reason: {Reason},
C1,Email Body,,,Your registration has been cancelled by the event administrator.,
C1,Email Body,,,Your registration has been re-approved by the event administrator.,
C1,Email Body,,,Your request has been forwarded to the next approver.,
C1,Email Body,,,Your request was not approved.,
C1,Email Body,,,To {Start} - {End},
C1,Email Body,,,✅ We look forward to your participation in the event.,
C1,Email Body,,,❌ Your registration has been cancelled by the administrator.,
C1,Email Body,,,If you believe this is a mistake, please contact the event administrator.,
C1,Email Body,,,❌ Unfortunately, your request could not be approved at this time.,
C2,Table Label,,,📅 Event Details,
C2,Table Label,,,Event Name:,
C2,Table Label,,,Location:,
C2,Table Label,,,Start Date:,
C2,Table Label,,,End Date:,
C2,Table Label,,,Start Time:,
C2,Table Label,,,End Time:,
C2,Table Label,,,Activity:,
C2,Table Label,,,Date:,
C2,Table Label,,,Time:,
C2,Table Label,,,Description:,
C2,Table Label,,,Status:,
C2,Table Label,,,N/A,
